category,description,education,job_market,riasec_artistic,riasec_conventional,riasec_enterprising,riasec_investigative,riasec_realistic,riasec_social,salary_range
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Doctorat,Faible,54,84,26,58,79,49,3000-5000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Licence,Élevé,60,63,56,72,61,28,5000-7000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Licence,Moyen,60,30,41,94,72,62,2000-3000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Doctorat,Faible,69,27,60,70,88,46,3000-5000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Licence,Moyen,49,35,44,54,92,46,2000-3000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Licence,Moyen,50,64,94,58,86,34,3000-5000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Licence,Faible,84,57,90,74,76,64,5000-7000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Licence,Moyen,88,80,55,41,58,36,3000-5000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Licence,Faible,68,22,100,76,99,73,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Doctorat,Faible,94,84,70,86,20,42,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,39,21,86,74,59,40,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Master,Élevé,87,23,37,96,42,26,3000-5000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Moyen,60,52,73,33,30,59,2000-3000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Master,Élevé,31,93,76,55,49,80,5000-7000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,48,72,66,21,39,64,2000-3000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Doctorat,Faible,96,55,45,38,62,25,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Licence,Moyen,30,69,43,100,30,35,3000-5000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Licence,Faible,57,73,30,77,35,25,2000-3000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Licence,Moyen,45,37,50,71,77,98,3000-5000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Master,Faible,22,51,89,27,40,98,3000-5000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,51,74,90,20,39,87,3000-5000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Licence,Faible,66,26,24,34,66,72,5000-7000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,79,25,91,51,23,98,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Licence,Faible,81,76,65,71,85,22,3000-5000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Master,Élevé,51,48,52,59,43,23,5000-7000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Doctorat,Faible,70,79,47,69,92,84,2000-3000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Licence,Élevé,100,61,39,29,26,82,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,44,53,25,57,25,35,2000-3000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,37,82,25,66,71,38,3000-5000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Doctorat,Faible,37,65,24,99,31,31,3000-5000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Licence,Faible,76,54,29,75,67,64,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Doctorat,Faible,92,92,34,27,78,64,3000-5000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Doctorat,Faible,92,40,43,55,60,22,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Licence,Faible,27,76,84,94,22,62,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Moyen,95,87,88,68,26,74,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Licence,Élevé,85,24,48,81,84,99,3000-5000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Licence,Faible,52,71,31,80,38,71,5000-7000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Doctorat,Faible,90,78,69,42,40,95,5000-7000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Master,Faible,21,75,87,79,43,33,5000-7000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Doctorat,Faible,57,82,45,62,32,35,5000-7000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,49,43,72,80,69,52,2000-3000€
